Song Title /Album Title,Year,Award Institution,Award Category,Award Type,International Award,Result
Beyonce,2003,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Nominated
Beyonce,2003,American Music Award,Fan's Choice Award,,,Nominated
*Dangerously in Love*,2003,American Music Award,Favorite Soul/R&B Album,Race,,Nominated
Beyonce,2004,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Nominated
Beyonce,2006,American Music Award,Artist of the Year,,,Nominated
Beyonce,2007,American Music Award,International Artist Award,,International,Won
Beyonce,2007,American Music Award,Favorite Pop/Rock Female Artist,Gender,,Nominated
Beyonce,2007,American Music Award,Favorite Soul/R&B Female Artist,Gender,,Nominated
*Dreamgirls: Music from the Motion Picture*,2007,American Music Award,Favorite Soundtrack,,,Nominated
Beyonce,2009,American Music Award,Favorite Pop/Rock Female Artist,Gender,,Nominated
Beyonce,2009,American Music Award,Favorite Soul/R&B Female Artist,Gender,,Won
*I Am... Sasha Fierce*,2009,American Music Award,Favorite Soul/R&B Album,Gender & Race,,Nominated
Beyonce,2011,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
*4*,2011,American Music Award,Favorite Soul/R&B Album,Race,,Nominated
Beyonce,2012,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
Beyonce,2014,American Music Award,Artist of the Year,,,Nominated
Beyonce,2014,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
*BEYONCÉ*,2014,American Music Award,Favorite Soul/R&B Album,,,Won
Beyonce,2015,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Nominated
Beyonce,2016,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Nominated
The Formation World Tour,2016,American Music Award,Tour of the Year,,,Won
*Lemonade*,2016,American Music Award,Favorite Soul/R&B Album,Race,,Nominated
Beyonce,2017,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
On the Run II Tour (with Jay-Z),2018,American Music Award,Tour of the Year,,,Nominated
Beyonce,2019,American Music Award,Favorite Soul/R&B Female Artist,Gender & Race,,Won
Most Performed Urban Songs,2018,ASCAP Latin Awards,"""Mi Gente"" (Remix) (J Balvin and Willy William featuring Beyonce)",,,Won
Beyonce,2001,ASCAP Pop Music Awards,Songwriter of the Year,,,Won
Independent Women Part I,2001,ASCAP Pop Music Awards,Most Performed Songs,,,Won
"Jumpin', Jumpin'",2001,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Survivor,2001,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Crazy in Love (featuring Jay-Z),2004,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Baby Boy (featuring Sean Paul),2005,ASCAP Pop Music Awards,Most Performed Songs,,,Won
"Me, Myself and I",2005,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Naughty Girl,2005,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Lose My Breath,2006,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Soldier (featuring T.I. and Lil Wayne),2006,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Check on It (featuring Slim Thug),2007,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Grillz (Nelly featuring Paul Wall and Ali & Gipp),2007,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Irreplaceable,2008,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Halo,2010,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Single Ladies (Put a Ring on It),2010,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Sweet Dreams,2010,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Telephone (Lady Gaga featuring Beyonce),2011,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Drunk in Love (featuring Jay-Z),2015,ASCAP Pop Music Awards,Most Performed Songs,,,Won
Irreplaceable,2007,ASCAP PRS Awards,Most Performed Songs,,,Won
"No, No, No",1999,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
"Bills, Bills, Bills",2000,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Say My Name,2001,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Independent Women Part I,2002,ASCAP Rhythm & Soul Music Awards,Top Soundtrack Song of the Year,,,Won
Baby Boy (featuring Sean Paul),2004,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Crazy in Love (featuring Jay-Z),2004,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
"Me, Myself and I",2005,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Cater 2 U,2006,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip Hop Song,Race,,Won
Soldier (featuring T.I. and Lil Wayne),2006,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip Hop Song,Race,,Won
Check on It (featuring Slim Thug),2007,ASCAP Rhythm & Soul Music Awards,Soundtrack Song of the Year,,,Won
Check on It (featuring Slim Thug),2007,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Grillz (Nelly featuring Paul Wall and Ali & Gipp),2007,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Grillz (Nelly featuring Paul Wall and Ali & Gipp),2007,ASCAP Rhythm & Soul Music Awards,Ringtone of the Year,,,Won
Grillz (Nelly featuring Paul Wall and Ali & Gipp),2007,ASCAP Rhythm & Soul Music Awards,Award Winning Rap Songs,,,Won
Get Me Bodied,2008,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Irreplaceable,2008,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Until the End of Time (Justin Timberlake featuring Beyonce),2008,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Diva,2010,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Ego,2010,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Single Ladies (Put a Ring on It),2010,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Best Thing I Never Had,2012,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Love on Top,2013,ASCAP Rhythm & Soul Music Awards,Top R&B/Hip-Hop Song,Race,,Won
Dance for You,2013,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Party (featuring André 3000),2013,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Drunk in Love (featuring Jay-Z),2015,ASCAP Rhythm & Soul Music Awards,Top R&B/Hip-Hop Song,Race,,Won
Flawless (featuring Chimamanda Ngozi Adichie),2015,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Partition,2015,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
11-Jul,2016,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Feeling Myself (Nicki Minaj featuring Beyonce),2016,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Hold Up,2017,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Formation,2017,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Sorry,2017,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Shining (DJ Khaled featuring Beyonce and Jay-Z),2018,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Apeshit (The Carters),2019,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
24/7,2020,ASCAP Rhythm & Soul Music Awards,Award Winning R&B/Hip-Hop Songs,Race,,Won
Hymn for the Weekend (Coldplay featuring Beyonce),2016,BBC Music Awards,Song of the Year,,,Nominated
Runnin' (Lose It All) (Naughty Boy featuring Beyonce and Arrow Benjamin),2016,BBC Music Awards,,,,Nominated
Perfect Duet (with Ed Sheeran),2018,BBC Radio 1's Teen Awards,Best Single,,,Nominated
03 Bonnie & Clyde (Jay-Z featuring Beyonce),2003,BET Awards,Best Collaboration,,,Nominated
Beyonce,2004,BET Awards,Best Female R&B Artist,Gender & Race,,Won
Crazy in Love (featuring Jay-Z),2004,BET Awards,Video of the Year,Video,,Nominated
Crazy in Love (featuring Jay-Z),2004,BET Awards,Best Collaboration,,,Won
Crazy in Love (featuring Jay-Z),2004,BET Awards,Viewers Choice Award,,,Nominated
Beyonce,2005,BET Awards,Best Female R&B Artist,Gender & Race,,Nominated
Check on It (featuring Slim Thug),2006,BET Awards,Video of the Year,Video,,Nominated
Check on It (featuring Slim Thug),2006,BET Awards,Best Collaboration,,,Nominated
Beyonce,2007,BET Awards,Best Female R&B Artist,Gender & Race,,Won
Beautiful Liar (with Shakira),2007,BET Awards,Video of the Year,,,Nominated
Irreplaceable,2007,BET Awards,Video of the Year,,,Won
Irreplaceable,2007,BET Awards,Viewers Choice Award,,,Nominated
Deja Vu (featuring Jay-Z),2007,BET Awards,Best Collaboration,,,Nominated
Upgrade U (featuring Jay-Z),2007,BET Awards,Best Collaboration,,,Nominated
Beyonce,2009,BET Awards,Best Female R&B Artist,Gender & Race,,Won
If I Were a Boy,2009,BET Awards,Video of the Year,Video,,Nominated
Single Ladies (Put a Ring on It),2009,BET Awards,Video of the Year,Video,,Won
Single Ladies (Put a Ring on It),2009,BET Awards,Viewers Choice Award,,,Nominated
Beyonce,2010,BET Awards,Best Female R&B Artist,Gender & Race,,Nominated
Video Phone (featuring Lady Gaga),2010,BET Awards,Video of the Year,Video,,Won
Video Phone (featuring Lady Gaga),2010,BET Awards,Best Collaboration,,,Nominated
Sweet Dreams,2010,BET Awards,Viewers Choice Award,,,Nominated
Beyonce,2011,BET Awards,Best Female R&B Artist,Gender & Race,,Nominated
Beyonce,2012,BET Awards,Video Director of the Year (with Alan Ferguson),Video,,Won
Beyonce,2012,BET Awards,Best Female R&B Artist,Gender & Race,,Won
Countdown,2012,BET Awards,Video of the Year,Video,,Nominated
Love on Top,2012,BET Awards,Video of the Year,Video,,Nominated
Love on Top,2012,BET Awards,Viewers Choice Award,,,Nominated
Party (Remix) (featuring J. Cole),2012,BET Awards,Best Collaboration,,,Nominated
Beyonce,2013,BET Awards,Best Female R&B Artist,Gender & Race,,Nominated
Beyonce,2014,BET Awards,Best Female R&B Artist,Gender & Race,,Won
Beyonce,2014,BET Awards,FANdemonium Award,,,Won
Partition,2014,BET Awards,Video of the Year,Video,,Nominated
Drunk in Love (featuring Jay-Z),2014,BET Awards,Video of the Year,Video,,Nominated
Drunk in Love (featuring Jay-Z),2014,BET Awards,Best Collaboration,,,Won
Drunk in Love (featuring Jay-Z),2014,BET Awards,Viewers Choice Award,,,Nominated
Beyonce,2015,BET Awards,Video Director of the Year (with Ed Burke and Todd Tourso),Video,,Won
Beyonce,2015,BET Awards,Best Female R&B Artist,Gender & Race,,Won
7 - 11 - Song,2015,BET Awards,Video of the Year,Video,,Won
7 - 11 - Song,2015,BET Awards,Viewers Choice Award,,,Nominated
Beyonce,2016,BET Awards,Best Female R&B Artist,Gender & Race,,Won
Beyonce,2016,BET Awards,FANdemonium Award,,,Won
Formation,2016,BET Awards,Video of the Year,Video,,Won
Formation,2016,BET Awards,Viewers Choice Award,,,Won
,2016,BET Awards,Centric Award,,,Won
Feeling Myself (Nicki Minaj featuring Beyonce),2016,BET Awards,Best Collaboration,,,Nominated
Beyonce,2017,BET Awards,Best Female R&B Artist,Gender & Race,,Won
Sorry,2017,BET Awards,Video of the Year,Video,,Won
Sorry,2017,BET Awards,Video Director of the Year (with Kahlil Joseph),Video,,Won
Sorry,2017,BET Awards,Viewers Choice Award,,,Won
*Lemonade*,2017,BET Awards,Album of the Year,,,Won
Freedom (featuring Kendrick Lamar),2017,BET Awards,Best Collaboration,,,Nominated
Shining (DJ Khaled featuring Beyonce and Jay-Z),2017,BET Awards,Best Collaboration,,,Nominated
Beyonce,2018,BET Awards,Best Female R&B/Pop Artist,Gender & Race,,Won
"Top Off (DJ Khaled featuring Jay-Z, Future and Beyonce)",2018,BET Awards,Best Collaboration,,,Nominated
Beyonce,2019,BET Awards,Best Female R&B/Pop Artist,Gender & Race,,Won
*Everything Is Love*,2019,BET Awards,Album of the Year,,,Nominated
Apeshit,2019,BET Awards,Video of the Year,Video,,Nominated
The Carters,2019,BET Awards,Best Group,,,Nominated
Beyonce,2020,BET Awards,Humanitarian Award,,,Won
Beyonce,2020,BET Awards,Best Female R&B/Pop Artist,Gender & Race,,Nominated
*Homecoming: The Live Album*,2020,BET Awards,Album of the Year,,,Nominated
*Homecoming*,2020,BET Awards,Best Movie,,,Nominated
Brown Skin Girl,2020,BET Awards,HER Award,,,Won
Feeling Myself (Nicki Minaj featuring Beyonce),2015,BET Hip Hop Awards,Best Hip Hop Video,Video & Race,,Nominated
Feeling Myself (Nicki Minaj featuring Beyonce),2015,BET Hip Hop Awards,"Best Collabo, Duo or Group",,,Nominated
Apeshit (The Carters),2018,BET Hip Hop Awards,Single of the Year,,,Won
Apeshit (The Carters),2018,BET Hip Hop Awards,"Best Collabo, Duo or Group",,,Won
Everything Is Love,2018,BET Hip Hop Awards,Album of the Year,,,Won
The Carters,2019,BET Hip Hop Awards,Hot Ticket Performer,,,Nominated
Beyonce,2018,Billboard Latin Music Awards,Crossover Artist of the Year,,,Nominated
Mi Gente (Remix) (J Balvin and Willy William featuring Beyonce),2018,Billboard Latin Music Awards,Hot Latin Song of the Year,Race,,Nominated
Mi Gente (Remix) (J Balvin and Willy William featuring Beyonce),2018,Billboard Latin Music Awards,"Hot Latin Song of the Year, Vocal Event",Race,,Nominated
Mi Gente (Remix) (J Balvin and Willy William featuring Beyonce),2018,Billboard Latin Music Awards,Airplay Song of the Year,,,Nominated
Mi Gente (Remix) (J Balvin and Willy William featuring Beyonce),2018,Billboard Latin Music Awards,Digital Song of the Year,,,Nominated
Mi Gente (Remix) (J Balvin and Willy William featuring Beyonce),2018,Billboard Latin Music Awards,Streaming Song of the Year,,,Nominated
Mi Gente (Remix) (J Balvin and Willy William featuring Beyonce),2018,Billboard Latin Music Awards,Latin Rhythm Song of the Year,Race,,Won
Beyonce at Glastonbury Festival,2011,Billboard Mid-Year Music Awards,Best Festival Performance,,,Nominated
2011 Billboard Music Awards featuring Beyonce,2011,Billboard Mid-Year Music Awards,Best Awards Show Performance,,,Won
Beyonce,2012,Billboard Mid-Year Music Awards,Best Style,,,Won
Beyonce,2013,Billboard Mid-Year Music Awards,First-Half MVP,,,Nominated
Beyonce's Lip Sync Performance at Inauguration,2013,Billboard Mid-Year Music Awards,Most Shocking Moment,,,Won
Super Bowl XLVII Halftime Show Starring Beyonce,2013,Billboard Mid-Year Music Awards,Best TV Performance,,,Won
Beyonce,2013,Billboard Mid-Year Music Awards,Most Overrated Artist,,,Nominated
The Mrs. Carter Show World Tour,2013,Billboard Mid-Year Music Awards,Most Anticipated Event of 2013's Second Half,,,Nominated
Beyonce,2014,Billboard Mid-Year Music Awards,Best Style,,,Nominated
Beyonce,2014,Billboard Mid-Year Music Awards,First-Half MVP,,,Won
The Mrs. Carter Show World Tour,2014,Billboard Mid-Year Music Awards,Best Tour,,,Nominated
On the Run Tour,2014,Billboard Mid-Year Music Awards,Most Anticipated Event of 2014's Second Half,,,Won
*BEYONCÉ*,2014,Billboard Mid-Year Music Awards,Favorite No. 1 *Billboard* 200 Album,,,Won
Part II (On the Run) (Jay-Z featuring Beyonce),2014,Billboard Mid-Year Music Awards,Best Music Video,Video,,Nominated
Beyonce,2003,Billboard Music Awards,New Female Artist,Gender,,Won
Beyonce,2003,Billboard Music Awards,Hot 100 Female Artist,,,Won
Crazy in Love and Baby Boy,2003,Billboard Music Awards,Hot 100 Award for Most Weeks at No. 1,,,Won
Beyonce,2003,Billboard Music Awards,New R&B Artist,Race,,Won
Beyonce,2003,Billboard Music Awards,Female R&B/Hip-Hop Artist of the Year,Gender & Race,,Nominated
Beyonce,2003,Billboard Music Awards,Female Artist of the Year,Gender,,Nominated
Beyonce,2004,Billboard Music Awards,Female Artist of the Year,Gender,,Nominated
Beyonce,2004,Billboard Music Awards,Female R&B/Hip-Hop Artist of the Year,Gender & Race,,Nominated
Beyonce,2006,Billboard Music Awards,Female Artist of the Year,Gender,,Nominated
Beyonce,2006,Billboard Music Awards,Female R&B/Hip-Hop Artist of the Year,Gender & Race,,Nominated
Beyonce,2006,Billboard Music Awards,Artist of the Year,,,Nominated
Check on It (featuring Slim Thug),2006,Billboard Music Awards,Hot 100 Airplay Single,,,Nominated
Beyonce,2011,Billboard Music Awards,Millenium Award,,,Won
*4*,2012,Billboard Music Awards,Top R&B Album,Race,,Won
Beyonce,2012,Billboard Music Awards,Top R&B Artist,Race,,Nominated
Beyonce,2012,Billboard Music Awards,FAN Award – Most Favorite Artist,,,Nominated
Beyonce,2012,Billboard Music Awards,FAN Award – Most Influential Style,,,Nominated
Beyonce,2014,Billboard Music Awards,Top Female Artist,Gender,,Nominated
Beyonce,2014,Billboard Music Awards,Top Billboard 200 Artist,,,Nominated
Beyonce,2014,Billboard Music Awards,Top Touring Artist,,,Nominated
Beyonce,2014,Billboard Music Awards,Top R&B Artist,Race,,Nominated
*BEYONCÉ*,2014,Billboard Music Awards,Top Billboard 200 Album,,,Nominated
*BEYONCÉ*,2014,Billboard Music Awards,Top R&B Album,Race,,Nominated
Drunk in Love (featuring Jay-Z),2014,Billboard Music Awards,Top R&B Song,Race,,Nominated
Beyonce,2015,Billboard Music Awards,Top R&B Artist,Race,,Nominated
*BEYONCÉ*,2015,Billboard Music Awards,Top R&B Album,Race,,Nominated
Beyonce,2017,Billboard Music Awards,Top Billboard 200 Artist,,,Nominated
Beyonce,2017,Billboard Music Awards,Top Artist,,,Nominated
Beyonce,2017,Billboard Music Awards,Top Female Artist,Gender,,Won
Beyonce,2017,Billboard Music Awards,Top Touring Artist,,,Won
Beyonce,2017,Billboard Music Awards,Top R&B Artist,Race,,Won
*Lemonade*,2017,Billboard Music Awards,Top Billboard 200 Album,,,Nominated
*Lemonade*,2017,Billboard Music Awards,Top R&B Album,Race,,Won
The Formation World Tour,2017,Billboard Music Awards,Top R&B Tour,Race,,Won
Beyonce,2018,Billboard Music Awards,Top Female R&B Artist,Race,,Nominated
Mi Gente (Remix) (J Balvin and Willy William featuring Beyonce),2018,Billboard Music Awards,Top Latin Song,Race,,Nominated
Beyonce,2019,Billboard Music Awards,Top Touring Artist,,,Nominated
