Song Title /Album Title,Year,Award Institution,Award Category,Award Type,International Award,Result
Single Ladies (Put a Ring on It),2009,MTV Video Music Awards,Best Female Video,Video & Gender,,Nominated
Single Ladies (Put a Ring on It),2009,MTV Video Music Awards,Best Pop Video,Video,,Nominated
Video Phone (featuring Lady Gaga),2010,MTV Video Music Awards,Best Collaboration,Video,,Nominated
Video Phone (featuring Lady Gaga),2010,MTV Video Music Awards,Best Female Video,Gender & Video,,Nominated
Video Phone (featuring Lady Gaga),2010,MTV Video Music Awards,Best Pop Video,Video,,Nominated
Run the World (Girls),2011,MTV Video Music Awards,Best Female Video,Gender & Video,,Nominated
Love on Top,2012,MTV Video Music Awards,Best Female Video,Gender & Video,,Nominated
Countdown,2012,MTV Video Music Awards,Best Choreography in a Video,Video,,Nominated
Countdown,2012,MTV Video Music Awards,Most Share-Worthy Video,Video,,Nominated
I Was Here,2013,MTV Video Music Awards,Best Video with a Social Message,Video,,Nominated
Drunk in Love (featuring Jay-Z),2014,MTV Video Music Awards,Video of the Year,Video,,Nominated
Drunk in Love (featuring Jay-Z),2014,MTV Video Music Awards,Best Collaboration,Video,,Won
Partition,2014,MTV Video Music Awards,Best Female Video,Video & Gender,,Nominated
Pretty Hurts,2014,MTV Video Music Awards,Best Video with a Social Message,Video,,Won
Beyonce,2014,MTV Video Music Awards,Michael Jackson Video Vanguard Award,Video,,Won
7 - 11 - Song,2015,MTV Video Music Awards,Video of the Year,Video,,Nominated
7 - 11 - Song,2015,MTV Video Music Awards,Best Pop Video,Video,,Nominated
7 - 11 - Song,2015,MTV Video Music Awards,Best Female Video,Video & Gender,,Nominated
7 - 11 - Song,2015,MTV Video Music Awards,Best Choreography in a Video,Video,,Nominated
Formation,2016,MTV Video Music Awards,Video of the Year,Video,,Won
Formation,2016,MTV Video Music Awards,Best Pop Video,Video,,Won
Sorry,2016,MTV Video Music Awards,Best Choreography in a Video,Video,,Nominated
Hold Up,2016,MTV Video Music Awards,Best Female Video,Video & Gender,,Won
Freedom (featuring Kendrick Lamar),2016,MTV Video Music Awards,Best Collaboration,Video,,Nominated
*Lemonade*,2016,MTV Video Music Awards,Breakthrough Long Form Video,Video,,Won
Beyonce,2002,MTV Europe Music Awards,Best R&B,Race,International,Nominated
Beyonce,2003,MTV Europe Music Awards,Best R&B,Race,International,Won
Beyonce,2003,MTV Europe Music Awards,Best Female,Gender,International,Nominated
Crazy in Love (featuring Jay-Z),2003,MTV Europe Music Awards,Best Song,,International,Won
Beyonce,2004,MTV Europe Music Awards,Best Female,Gender,International,Nominated
Beyonce,2004,MTV Europe Music Awards,Best R&B,Race,International,Nominated
*Dangerously in Love*,2004,MTV Europe Music Awards,Best Album,,International,Nominated
Beyonce,2006,MTV Europe Music Awards,Best R&B,Race,International,Nominated
Beyonce,2006,MTV Europe Music Awards,Best Female,Gender,International,Nominated
Beyonce,2007,MTV Europe Music Awards,Ultimate Urban,,International,Nominated
Beyonce,2007,MTV Europe Music Awards,Headliner of the Year,,International,Nominated
Beautiful Liar (with Shakira),2007,MTV Europe Music Awards,Most Addictive Track,,International,Nominated
Beyonce,2008,MTV Europe Music Awards,Ultimate Urban,Race,International,Nominated
Halo,2009,MTV Europe Music Awards,Best Song,,International,Won
Beyonce,2009,MTV Europe Music Awards,Best Live Act,,International,Nominated
Beyonce,2009,MTV Europe Music Awards,Best Female,Gender,International,Won
Single Ladies (Put a Ring on It),2009,MTV Europe Music Awards,Best Video,Video,International,Won
Telephone (Lady Gaga featuring Beyonce),2010,MTV Europe Music Awards,Best Video,Video,International,Nominated
Beyonce,2011,MTV Europe Music Awards,Best Female,Gender,International,Nominated
Beyonce,2011,MTV Europe Music Awards,Best North American Act,,International,Nominated
Run the World (Girls),2011,MTV Europe Music Awards,Best Video,Video,International,Nominated
Beyonce,2013,MTV Europe Music Awards,Best Live Act,,International,Won
Beyonce,2014,MTV Europe Music Awards,Best US Act,,International,Nominated
Beyonce,2014,MTV Europe Music Awards,Best Female,Gender,International,Nominated
Beyonce,2014,MTV Europe Music Awards,Best Live Act,,International,Nominated
Beyonce,2015,MTV Europe Music Awards,Best US Act,,International,Nominated
Beyonce,2016,MTV Europe Music Awards,Best US Act,,International,Nominated
Beyonce,2016,MTV Europe Music Awards,Best Female,Gender,International,Nominated
Beyonce,2016,MTV Europe Music Awards,Best Live Act,,International,Nominated
Beyonce,2016,MTV Europe Music Awards,Biggest Fans,,International,Nominated
Formation,2016,MTV Europe Music Awards,Best Video,Video,International,Nominated
Beyonce,2004,NAACP Image Awards,Entertainer of the Year,,,Won
Beyonce,2004,NAACP Image Awards,Outstanding Female Artist,Gender,,Nominated
Beyonce,2004,NAACP Image Awards,Outstanding New Artist,,,Nominated
Crazy in Love (featuring Jay-Z),2004,NAACP Image Awards,Outstanding Song,,,Nominated
Crazy in Love (featuring Jay-Z),2004,NAACP Image Awards,Outstanding Music Video,Video,,Nominated
Beyonce,2007,NAACP Image Awards,Outstanding Female Artist,Gender,,Nominated
*Dreamgirls: Music from the Motion Picture*,2007,NAACP Image Awards,Outstanding Album,,,Won
*B'Day*,2007,NAACP Image Awards,Outstanding Album,,,Nominated
Irreplaceable,2007,NAACP Image Awards,Outstanding Song,,,Nominated
Irreplaceable,2007,NAACP Image Awards,Outstanding Music Video,Video,,Nominated
Beyonce,2008,NAACP Image Awards,Outstanding Female Artist,Gender,,Nominated
Beautiful Liar (with Shakira),2008,NAACP Image Awards,Outstanding Music Video,Video,,Nominated
Beyonce,2009,NAACP Image Awards,Outstanding Female Artist,Gender,,Won
*I Am... Sasha Fierce*,2009,NAACP Image Awards,Outstanding Album,,,Nominated
Single Ladies (Put a Ring on It),2009,NAACP Image Awards,Outstanding Song,,,Nominated
Single Ladies (Put a Ring on It),2009,NAACP Image Awards,Outstanding Music Video,Video,,Nominated
If I Were a Boy,2009,NAACP Image Awards,Outstanding Music Video,Video,,Nominated
Why Don't You Love Me,2011,NAACP Image Awards,Outstanding Music Video,Video,,Nominated
Beyonce,2012,NAACP Image Awards,Outstanding Female Artist,Gender,,Nominated
*4*,2012,NAACP Image Awards,Outstanding Album,,,Nominated
Best Thing I Never Had,2012,NAACP Image Awards,Outstanding Song,,,Nominated
I Was Here,2012,NAACP Image Awards,Outstanding Music Video,Video,,Nominated
Beyonce,2014,NAACP Image Awards,Entertainer of the Year,,,Nominated
Beyonce,2014,NAACP Image Awards,Outstanding Female Artist,Gender,,Won
Beyonce,2015,NAACP Image Awards,Entertainer of the Year,,,Nominated
Beyonce,2015,NAACP Image Awards,Outstanding Female Artist,Gender,,Won
*Beyonce: Platinum Edition*,2015,NAACP Image Awards,Outstanding Album,,,Nominated
Pretty Hurts,2015,NAACP Image Awards,Outstanding Song,,,Nominated
Pretty Hurts,2015,NAACP Image Awards,Outstanding Music Video,Video,,Nominated
Beyonce,2017,NAACP Image Awards,Entertainer of the Year,,,Nominated
Beyonce,2017,NAACP Image Awards,Outstanding Female Artist,Gender,,Won
*Lemonade*,2017,NAACP Image Awards,Outstanding Album,,,Won
Freedom (featuring Kendrick Lamar),2017,NAACP Image Awards,"Outstanding Duo, Group or Collaboration",,,Won
Freedom (featuring Kendrick Lamar),2017,NAACP Image Awards,Outstanding Song,,,Won
Formation,2017,NAACP Image Awards,Outstanding Song,,,Nominated
Formation,2017,NAACP Image Awards,Outstanding Music Video,Video,,Won
Die with You,2018,NAACP Image Awards,Outstanding Female Artist,Gender,,Nominated
Beyonce,2019,NAACP Image Awards,Entertainer of the Year,,,Won
Homecoming: The Live Album,2020,NAACP Image Awards,Outstanding Album,,,Won
Beyonce,2020,NAACP Image Awards,Outstanding Female Artist,Gender,,Won
Before I Let Go,2020,NAACP Image Awards,Outstanding Song - Contemporary,,,Won
Spirit,2020,NAACP Image Awards,Outstanding Song - Traditional,,,Won
Brown Skin Girl,2020,NAACP Image Awards,"Outstanding Duo, Group or Collaboration",,,Won
The Lion King: The Gift,2020,NAACP Image Awards,Outstanding Soundtrack/Compilation Album,,,Won
Beyonce,2004,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Crazy in Love (featuring Jay-Z),2004,Nickelodeon Kids' Choice Awards,Favorite Song,,,Nominated
Beyonce,2005,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Beyonce,2007,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Won
Irreplaceable,2007,Nickelodeon Kids' Choice Awards,Favorite Song,,,Won
Beyonce,2008,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Single Ladies (Put a Ring on It),2009,Nickelodeon Kids' Choice Awards,Favorite Song,,,Won
Beyonce,2009,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Beyonce,2010,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Beyonce,2015,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Formation,2017,Nickelodeon Kids' Choice Awards,Best Music Video,Video,,Nominated
Beyonce,2017,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Beyonce,2018,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Beyonce,2019,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Beyonce,2020,Nickelodeon Kids' Choice Awards,Favorite Female Singer,Gender,,Nominated
Beyonce,2004,People's Choice,Favorite Female Performer,Gender,,Won
Beyonce,2008,People's Choice,Favorite Female Singer,Gender,,Nominated
Irreplaceable,2008,People's Choice,Favorite Pop Song,,,Nominated
Beautiful Liar (with Shakira),2008,People's Choice,Favorite R&B Song,Race,,Nominated
Beyonce,2009,People's Choice,Favorite Star Under 35,,,Nominated
Beyonce,2010,People's Choice,Favorite Female Artist,Gender,,Nominated
Beyonce,2010,People's Choice,Favorite R&B Artist,Race,,Nominated
Beyonce,2011,People's Choice,Favorite R&B Artist,Race,,Nominated
Beyonce,2011,People's Choice,Favorite Pop Artist,,,Nominated
Telephone (Lady Gaga featuring Beyonce),2011,People's Choice,Favorite Music Video,Video,,Nominated
Telephone (Lady Gaga featuring Beyonce),2011,People's Choice,Favorite Song,,,Nominated
Beyonce,2012,People's Choice,Favorite Female Artist,Gender,,Nominated
Beyonce,2012,People's Choice,Favorite Pop Artist,,,Nominated
Beyonce,2012,People's Choice,Favorite R&B Artist,Race,,Nominated
Run the World (Girls),2012,People's Choice,Favorite Music Video,Video,,Nominated
*4*,2012,People's Choice,Favorite Album of the Year,,,Nominated
Beyonce,2013,People's Choice,Favorite R&B Artist,Race,,Nominated
Beyonce,2015,People's Choice,Favorite Female Artist,Gender,,Nominated
Beyonce,2015,People's Choice,Favorite Pop Artist,,,Nominated
Beyonce,2016,People's Choice,Favorite Social Media Celebrity,,,Nominated
Beyonce,2017,People's Choice,Favorite Female Artist,Gender,,Nominated
Beyonce,2017,People's Choice,Favorite R&B Artist,Race,,Nominated
*Lemonade*,2017,People's Choice,Favorite Album,,,Nominated
Beyonce,2018,People's Choice,Favorite Female Artist,Gender,,Nominated
Beyonce,2018,People's Choice,Style Icon,,,Nominated
On the Run II Tour (with Jay-Z),2018,People's Choice,Concert of the Year,,,Nominated
Beyonce,2019,People's Choice,Animated Movie Star,,,Won
*Dangerously in Love*,2004,Soul Train,Album of the Year,,,Nominated
*Dangerously in Love*,2004,Soul Train,Best R&B/Soul Album – Female,Gender & Race,,Won
Crazy in Love (featuring Jay-Z),2004,Soul Train,Best R&B/Soul Single – Female,Gender & Race,,Nominated
Crazy in Love (featuring Jay-Z),2004,Soul Train,Best R&B/Soul or Rap Music Video,Video & Race,,Nominated
Beyonce,2004,Soul Train,Sammy Davis Jr. Award for Entertainer of the Year,Race,,Won
Naughty Girl,2005,Soul Train,Best R&B/Soul Single – Female,Gender & Race,,Nominated
The Closer I Get to You  (with Luther Vandross),2005,Soul Train,"Best R&B/Soul Single – Group, Band or Duo",Race,,Nominated
*B'Day*,2007,Soul Train,Best R&B/Soul Album – Female,Gender & Race,,Nominated
Irreplaceable,2007,Soul Train,Best R&B/Soul Single – Female,Gender & Race,,Won
Irreplaceable,2007,Soul Train,Best R&B/Soul or Rap Music Video,Video,,Nominated
*I Am... Sasha Fierce*,2009,Soul Train,Album of the Year,,,Won
Single Ladies (Put a Ring on It),2009,Soul Train,The Ashford & Simpson Songwriter's Award,Race,,Nominated
Single Ladies (Put a Ring on It),2009,Soul Train,Song of the Year,,,Won
Beyonce,2009,Soul Train,Best R&B/Soul Female Artist,Race,,Won
*4*,2011,Soul Train,Album of the Year,,,Nominated
Best Thing I Never Had,2011,Soul Train,The Ashford & Simpson Songwriter's Award,Race,,Nominated
Run the World (Girls),2011,Soul Train,Best Dance Performance,,,Won
Beyonce,2011,Soul Train,Best R&B/Soul Female Artist,Gender & Race,,Nominated
Love on Top,2012,Soul Train,Best Dance Performance,,,Won
Beyonce,2012,Soul Train,Best R&B/Soul Female Artist,Gender & Race,,Won
*BEYONCÉ*,2014,Soul Train,Album of the Year,,,Won
Drunk in Love (featuring Jay-Z),2014,Soul Train,Song of the Year,,,Nominated
Drunk in Love (featuring Jay-Z),2014,Soul Train,Video of the Year,Video,,Nominated
Pretty Hurts,2014,Soul Train,The Ashford & Simpson Songwriter's Award,Race,,Nominated
Say Yes (Michelle Williams featuring Beyonce and Kelly Rowland),2014,Soul Train,Best Gospel/Inspirational Song,,,Nominated
Beyonce,2014,Soul Train,Best R&B/Soul Female Artist,Gender & Race,,Won
7 - 11 - Song,2015,Soul Train,Video of the Year,Video,,Nominated
7 - 11 - Song,2015,Soul Train,Best Dance Performance,,,Nominated
Beyonce,2015,Soul Train,Best R&B/Soul Female Artist,Race,,Nominated
Feeling Myself (Nicki Minaj featuring Beyonce),2015,Soul Train,Best Collaboration,,,Nominated
*Lemonade*,2016,Soul Train,Album of the Year,,,Won
Sorry,2016,Soul Train,Video of the Year,Video,,Nominated
Formation,2016,Soul Train,Video of the Year,Video,,Won
Formation,2016,Soul Train,Song of the Year,,,Won
Formation,2016,Soul Train,Best Dance Performance,,,Nominated
Formation,2016,Soul Train,The Ashford & Simpson Songwriter's Award,Race,,Nominated
Freedom (featuring Kendrick Lamar),2016,Soul Train,Best Collaboration,,,Nominated
Beyonce,2016,Soul Train,Best R&B/Soul Female Artist,Gender & Race,,Won
All Night,2017,Soul Train,Video of the Year,Video,,Nominated
Beyonce,2019,Soul Train,Best R&B/Soul Female Artist,Gender & Race,,Nominated
Before I Let Go,2019,Soul Train,Song of the Year,,,Nominated
Spirit,2019,Soul Train,Video of the Year,Video,,Nominated
Spirit,2019,Soul Train,Best Dance Performance,,,Nominated
Brown Skin Girl,2019,Soul Train,Best Collaboration,,,Nominated
Brown Skin Girl,2019,Soul Train,The Ashford & Simpson Songwriter's Award,,,Won
Beyonce,2002,Teen Choice,Choice Female Hottie,Gender,,Nominated
Beyonce,2003,Teen Choice,Choice Music: Female Artist,Gender,,Nominated
Beyonce,2003,Teen Choice,Choice Female Hottie,Gender,,Won
Beyonce,2003,Teen Choice,Choice Breakout Artist,,,Nominated
Beyonce,2003,Teen Choice,Choice Crossover Artist,,,Nominated
Beyonce,2003,Teen Choice,Choice Fashion Icon: Female,Gender,,Nominated
03 Bonnie & Clyde (Jay-Z featuring Beyonce),2003,Teen Choice,Choice Music: Hook-Up,,,Nominated
Crazy in Love (featuring Jay-Z),2003,Teen Choice,Choice Music: Love Song,,,Won
Crazy in Love (featuring Jay-Z),2003,Teen Choice,Choice Summer Song,,,Won
Beyonce,2004,Teen Choice,Choice Music: Female Artist,Gender,,Nominated
Beyonce,2004,Teen Choice,Choice Music: R&B Artist,Race,,Nominated
Beyonce,2004,Teen Choice,Choice Female Hottie,,,Nominated
Verizon Ladies First Tour,2004,Teen Choice,Choice Music: Tour,,,Nominated
Baby Boy (featuring Sean Paul),2004,Teen Choice,Choice Music: Single,,,Nominated
Baby Boy (featuring Sean Paul),2004,Teen Choice,Choice Music: Hook-Up,,,Nominated
Naughty Girl,2004,Teen Choice,Choice Music: R&B Track,Race,,Nominated
*Dangerously in Love*,2004,Teen Choice,Choice Music: Album,Gender,,Nominated
Beyonce,2005,Teen Choice,Choice Hottie: Female,,,Nominated
Beyonce,2005,Teen Choice,Choice It Girl,,,Nominated
Beyonce,2006,Teen Choice,Choice Red Carpet Fashion Icon: Female,Gender,,Nominated
Check on It (featuring Slim Thug),2006,Teen Choice,Choice Music: R&B/Hip-Hop Track,Race,,Nominated
Beyonce,2007,Teen Choice,Choice Music: R&B Artist,Race,,Nominated
Irreplaceable,2007,Teen Choice,Choice Music: Payback Track,Race,,Nominated
Beyonce,2008,Teen Choice,Choice Music: R&B Artist,Race,,Nominated
Beyonce,2009,Teen Choice,Choice Music: R&B Artist,Race,,Won
Beyonce,2009,Teen Choice,Choice Female Hottie,Gender,,Nominated
Single Ladies (Put a Ring on It),2009,Teen Choice,Choice Music: R&B Track,Race,,Won
Halo,2009,Teen Choice,Choice Music: Love Song,,,Nominated
*I Am... Sasha Fierce*,2009,Teen Choice,Choice Music Album: Female,Gender,,Nominated
Beyonce,2010,Teen Choice,Choice Music: R&B Artist,Race,,Won
Telephone (Lady Gaga featuring Beyonce),2010,Teen Choice,Choice Music: Hook Up,,,Nominated
Run the World (Girls),2011,Teen Choice,Choice Music: R&B/Hip-Hop Track,Race,,Won
Beyonce,2011,Teen Choice,Choice Summer Music Star: Female,Gender,,Nominated
Love on Top,2012,Teen Choice,Choice Music: R&B/Hip-Hop Song,Race,,Nominated
Beyonce,2012,Teen Choice,Choice Music: R&B/Hip-Hop Artist,Race,,Nominated
Beyonce,2013,Teen Choice,Choice Music: R&B Artist,Race,,Nominated
The Mrs. Carter Show World Tour,2013,Teen Choice,Choice Summer Tour,,,Nominated
On the Run Tour,2014,Teen Choice,Choice Summer Tour,,,Nominated
Beyonce,2014,Teen Choice,Choice Music: Female Artist,Gender,,Nominated
Beyonce,2014,Teen Choice,Choice Female Hottie,Gender,,Nominated
Beyonce,2015,Teen Choice,Choice Instagrammer,,,Nominated
Beyonce,2016,Teen Choice,Choice Music: Female Artist,Gender,,Nominated
Beyonce,2016,Teen Choice,Choice Music: R&B/Hip-Hop Artist,Race,,Won
Beyonce,2017,Teen Choice,Choice Music: R&B/Hip-Hop Artist,Race,,Won
Beyonce,2017,Teen Choice,Choice Instagrammer,,,Nominated
On the Run II Tour (with Jay-Z),2018,Teen Choice,Choice Summer Tour,,,Nominated